Metric Name,Type,Description
crdb_dedicated.sql.distsql.flows.total,(count),Number of distributed SQL flows executed
crdb_dedicated.sql.distsql.queries.active,(gauge),Number of distributed SQL queries currently active
crdb_dedicated.sql.distsql.queries.total,(count),Number of distributed SQL queries executed
crdb_dedicated.sql.distsql.select.count,(count),Number of DistSQL SELECT statements
crdb_dedicated.sql.distsql.service.latency,(distribution),Latency in nanoseconds of DistSQL request execution. Shown as nanosecond
crdb_dedicated.sql.exec.latency,(distribution),Latency in nanoseconds of SQL statement execution. Shown as nanosecond
crdb_dedicated.sql.failure.count,(count),Number of statements resulting in a planning or runtime error. Shown as count.
crdb_dedicated.sql.full.scan.count,(count),Number of full table or index scans. Shown as count.
crdb_dedicated.sql.insert.count,(count),Number of SQL INSERT statements
crdb_dedicated.sql.mem.distsql.current,(gauge),Current sql statement memory usage for distsql
crdb_dedicated.sql.mem.distsql.max,(distribution),Memory usage per sql statement for distsql
crdb_dedicated.sql.mem.internal.session.current,(gauge),Current sql session memory usage for internal
crdb_dedicated.sql.mem.internal.session.max,(distribution),Memory usage per sql session for internal
crdb_dedicated.sql.mem.internal.txn.current,(gauge),Current sql transaction memory usage for internal
crdb_dedicated.sql.mem.internal.txn.max,(distribution),Memory usage per sql transaction for internal
crdb_dedicated.sql.misc.count,(count),Number of other SQL statements
crdb_dedicated.sql.query.count,(count),Number of SQL queries
crdb_dedicated.sql.select.count,(count),Number of SQL SELECT statements
crdb_dedicated.sql.service.latency,(distribution),Latency in nanoseconds of SQL request execution. Shown as nanosecond
crdb_dedicated.sql.statements.active,(gauge),Number of currently active user SQL statements. Shown as count.
crdb_dedicated.sql.txn.abort.count,(count),Number of SQL transaction ABORT statements
crdb_dedicated.sql.txn.begin.count,(count),Number of SQL transaction BEGIN statements
crdb_dedicated.sql.txn.commit.count,(count),Number of SQL transaction COMMIT statements
crdb_dedicated.sql.txn.latency,(distribution),Latency of SQL transactions. Shown as nanoseconds.
crdb_dedicated.sql.txn.rollback.count,(count),Number of SQL transaction ROLLBACK statements
crdb_dedicated.sql.txns.open,(gauge),Number of currently open SQL transactions. Shown as count.
crdb_dedicated.sql.update.count,(count),Number of SQL UPDATE statements
crdb_dedicated.sys.cgo.allocbytes,(gauge),Current bytes of memory allocated by cgo. Shown as byte
crdb_dedicated.sys.cgo.totalbytes,(gauge),"Total bytes of memory allocated by cgo, but not released. Shown as byte"
crdb_dedicated.sys.cgocalls,(gauge),Total number of cgo calls
crdb_dedicated.sys.cpu.combined.percent.normalized,(gauge),"Current user+system cpu percentage, normalized 0-1 by number of cores."
crdb_dedicated.sys.cpu.sys.ns,(gauge),Total system cpu time in nanoseconds. Shown as nanosecond
crdb_dedicated.sys.cpu.sys.percent,(gauge),Current system cpu percentage
crdb_dedicated.sys.cpu.user.ns,(gauge),Total user cpu time in nanoseconds. Shown as nanosecond
crdb_dedicated.sys.cpu.user.percent,(gauge),Current user cpu percentage. Shown as percent
crdb_dedicated.sys.fd.open,(gauge),Process open file descriptors
crdb_dedicated.sys.fd.softlimit,(gauge),Process open FD soft limit
crdb_dedicated.sys.gc.count,(gauge),Total number of GC runs
crdb_dedicated.sys.gc.pause.ns,(gauge),Total GC pause in nanoseconds. Shown as nanosecond
crdb_dedicated.sys.gc.pause.percent,(gauge),Current GC pause percentage. Shown as percent
crdb_dedicated.sys.go.allocbytes,(gauge),Current bytes of memory allocated by go. Shown as byte
crdb_dedicated.sys.go.totalbytes,(gauge),"Total bytes of memory allocated by go, but not released. Shown as byte"
crdb_dedicated.sys.goroutines,(gauge),Current number of goroutines
