metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
aerospike.namespace.from_proxy_batch_sub_tsvc_timeout,gauge,,transaction,,"The number of batch-index read sub transactions proxied from another node that timed out in the transaction service, before attempting to handle the transaction.",0,aerospike,from_proxy_batch_sub_tsvc_timeout,,
aerospike.namespace.from_proxy_batch_sub_udf_complete,gauge,,,,Number of completed batch-index UDF subtransactions proxied from another node (for scan/query background UDF jobs).,0,aerospike,from_proxy_batch_sub_udf_complete,,
aerospike.namespace.from_proxy_batch_sub_udf_error,gauge,,,,Number of failed batch-index UDF subtransactions proxied from another node (for scan/query background UDF jobs),0,aerospike,from_proxy_batch_sub_udf_error,,
aerospike.namespace.from_proxy_batch_sub_udf_filtered_out,gauge,,,,Number of batch-index UDF subtransactions proxied from another node that did not happen because the record was filtered out with Filter Expressions,0,aerospike,from_proxy_batch_sub_udf_filtered_out,,
aerospike.namespace.from_proxy_batch_sub_udf_timeout,gauge,,,,Number of batch-index UDF subtransactions proxied from another node that timed out (for scan/query background UDF jobs),0,aerospike,from_proxy_batch_sub_udf_timeout,,
aerospike.namespace.from_proxy_batch_sub_write_error,gauge,,,,Number of batch-index write subtransactions proxied from another node that failed with an error.,0,aerospike,from_proxy_batch_sub_write_error,,
aerospike.namespace.from_proxy_batch_sub_write_filtered_out,gauge,,,,Number of batch-index write subtransactions proxied from another node that did not happen because the record was filtered out with Filter Expressions.,0,aerospike,from_proxy_batch_sub_write_filtered_out,,
aerospike.namespace.from_proxy_batch_sub_write_success,gauge,,,,Number of records successfully written by batch-index subtransactions proxied from another node.,0,aerospike,from_proxy_batch_sub_write_success,,
aerospike.namespace.from_proxy_batch_sub_write_timeout,gauge,,,,Number of batch-index write subtransactions proxied from another node that timed out.,0,aerospike,from_proxy_batch_sub_write_timeout,,
aerospike.namespace.from_proxy_delete_error,gauge,,error,,Number of errors for delete transactions proxied from another node. This includes xdr_from_proxy_delete_error.,0,aerospike,from_proxy_delete_error,,
aerospike.namespace.from_proxy_delete_filtered_out,gauge,,transaction,,Number of delete transactions proxied from another node that did not happen because the record was filtered out using a predicate expression.,0,aerospike,from_proxy_delete_filtered_out,,
aerospike.namespace.from_proxy_delete_not_found,gauge,,transaction,,Number of delete transactions proxied from another node that resulted in not found. This includes xdr_from_proxy_delete_not_found.,0,aerospike,from_proxy_delete_not_found,,
aerospike.namespace.from_proxy_delete_success,gauge,,transaction,,Number of successful delete transactions proxied from another node. This includes xdr_from_proxy_delete_success.,0,aerospike,from_proxy_delete_success,,
aerospike.namespace.from_proxy_delete_timeout,gauge,,transaction,,Number of timeouts for delete transactions proxied from another node. This includes xdr_from_proxy_delete_timeout.,0,aerospike,from_proxy_delete_timeout,,
aerospike.namespace.from_proxy_lang_delete_success,gauge,,transaction,,Number of successful udf delete transactions proxied from another node.,0,aerospike,from_proxy_lang_delete_success,,
aerospike.namespace.from_proxy_lang_error,gauge,,error,,Number of language (Lua) errors for udf transactions proxied from another node.,0,aerospike,from_proxy_lang_error,,
aerospike.namespace.from_proxy_lang_read_success,gauge,,transaction,,Number of successful udf read transactions proxied from another node.,0,aerospike,from_proxy_lang_read_success,,
aerospike.namespace.from_proxy_lang_write_success,gauge,,transaction,,Number of successful udf write transactions proxied from another node.,0,aerospike,from_proxy_lang_write_success,,
aerospike.namespace.from_proxy_read_error,gauge,,transaction,,Number of errors for read transactions proxied from another node.,0,aerospike,from_proxy_read_error,,
aerospike.namespace.from_proxy_read_filtered_out,gauge,,transaction,,Number of read transactions proxied from another node that did not happen because the record was filtered out using a predicate expression.,0,aerospike,from_proxy_read_filtered_out,,
aerospike.namespace.from_proxy_read_not_found,gauge,,transaction,,Number of read transactions proxied from another node that resulted in not found.,0,aerospike,from_proxy_read_not_found,,
aerospike.namespace.from_proxy_read_success,gauge,,transaction,,Number of successful read transactions proxied from another node.,0,aerospike,from_proxy_read_success,,
aerospike.namespace.from_proxy_read_timeout,gauge,,transaction,,Number of timeouts for read transactions proxied from another node.,0,aerospike,from_proxy_read_timeout,,
aerospike.namespace.from_proxy_tsvc_error,gauge,,transaction,,"The number of transactions proxied from another node that failed in the transaction service, before attempting to handle the transaction.",0,aerospike,from_proxy_tsvc_error,,
aerospike.namespace.from_proxy_tsvc_timeout,gauge,,transaction,,"The number of transactions proxied from another node that timed out while in the transaction service, before attempting to handle the transaction.",0,aerospike,from_proxy_tsvc_timeout,,
aerospike.namespace.from_proxy_udf_complete,gauge,,transaction,,Number of successful udf transactions proxied from another node.,0,aerospike,from_proxy_udf_complete,,
aerospike.namespace.from_proxy_udf_error,gauge,,transaction,,Number of errors for udf transactions proxied from another node.,0,aerospike,from_proxy_udf_error,,
aerospike.namespace.from_proxy_udf_filtered_out,gauge,,transaction,,Number of udf transactions proxied from another node that did not happen because the record was filtered out using a predicate expression.,0,aerospike,from_proxy_udf_filtered_out,,
aerospike.namespace.from_proxy_udf_timeout,gauge,,transaction,,Number of timeouts for udf transactions proxied from another node.,0,aerospike,from_proxy_udf_timeout,,
aerospike.namespace.from_proxy_write_error,gauge,,transaction,,Number of errors for write transactions proxied from another node. This includes xdr_from_proxy_write_error.,0,aerospike,from_proxy_write_error,,
aerospike.namespace.from_proxy_write_filtered_out,gauge,,transaction,,Number of write transactions proxied from another node that did not happen because the record was filtered out using a predicate expression.,0,aerospike,from_proxy_write_filtered_out,,
aerospike.namespace.from_proxy_write_success,gauge,,transaction,,Number of successful write transactions proxied from another node. This includes xdr_from_proxy_write_success.,0,aerospike,from_proxy_write_success,,
aerospike.namespace.from_proxy_write_timeout,gauge,,transaction,,Number of timeouts for write transactions proxied from another node. This includes xdr_from_proxy_write_timeout.,0,aerospike,from_proxy_write_timeout,,
aerospike.namespace.geo2dsphere_within.earth_radius_meters,gauge,,,,"Earth's radius in meters, since the workspace here is the complete earth.",0,aerospike,geo2dsphere_within,,
aerospike.namespace.geo2dsphere_within.level_mod,gauge,,,,This determines if only cells where (level - min-level) is a multiple of level-mod will be used (default 1).,0,aerospike,geo2dsphere_within,,
aerospike.namespace.geo2dsphere_within.max_cells,gauge,,,,Maximum desired number of cells in the approximation. The maximum number of cells allowed is 256.,0,aerospike,geo2dsphere_within,,
aerospike.namespace.geo2dsphere_within.max_level,gauge,,,,Maximum depth to go for a single cell,0,aerospike,geo2dsphere_within,,
aerospike.namespace.geo2dsphere_within.min_level,gauge,,,,Minimum depth to go for a single cell,0,aerospike,geo2dsphere_within,,
