metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
portworx.px_node_stats_procfs_mem_mapped_bytes,gauge,,byte,,"The memory, in bytes, used for files that have been mmaped",0,portworx,node procfs mem mapped bytes,
portworx.px_node_stats_procfs_mem_sh_mem_bytes,gauge,,byte,,"The total amount of memory, in bytes, used by shared memory (shmem) and tmpfs",0,portworx,node procfs mem sh mem bytes,
portworx.px_node_stats_num_skinnysnaps,gauge,,,,The number of SkinnySnaps,0,portworx,node num skinnysnaps,
portworx.px_node_stats_skinnysnaps_num_repls_skips,gauge,,,,The number of target replicas skipped for a snapshot due to SkinnySnap,0,portworx,node skinnysnaps num repls skips,
portworx.px_node_stats_skinnysnaps_num_repls_snapshots,gauge,,,,The number of target replicas that underwent a snapshot operation due to SkinnySnap,0,portworx,node skinnysnaps num repls snapshots,
portworx.px_node_stats_relaxed_reclaim_pending,gauge,,,,The number of volumes in RelaxedReclaim pending queue,0,portworx,node relaxed reclaim pending,
portworx.px_node_stats_relaxed_reclaim_skipped,gauge,,,,The number of volume deletes that were skipped from being delayed even when RelaxedReclaim was enabled.,0,portworx,node relaxed reclaim skipped,
portworx.px_node_stats_relaxed_reclaim_deleted,gauge,,,,The number of volume deletes done through RelaxedReclaim,0,portworx,node relaxed reclaim deleted,
portworx.px_node_stats_num_volumes,gauge,,,,The number of volumes hosted on this node,0,portworx,node num volumes,
portworx.px_node_status_node_status,gauge,,,,Status of this node (https://libopenstorage.github.io/w/master.generated-api/#status),0,portworx,node status node status,
portworx.px_node_status_license_expiry,gauge,,,,Number of days until License (or License lease) expires (<0 means Expired),0,portworx,node status license expiry,
portworx.px_none_stats_free_mem,gauge,,byte,,Available memory in bytes,0,portworx,none free mem,
portworx.px_none_stats_total_mem,gauge,,byte,,Total memory in bytes,0,portworx,none total mem,
portworx.px_pool_stats_pool_written_bytes,gauge,,byte,,Bytes written since last interval for this pool. **Deprecated**.,0,portworx,pool written bytes,
portworx.px_pool_stats_pool_write_latency_seconds,gauge,,second,,Average time spent per write operation for this pool. **Deprecated**.,0,portworx,pool write latency seconds,
portworx.px_pool_stats_pool_writethroughput,gauge,,byte,,Average number of bytes written per second for this pool. **Deprecated**.,0,portworx,pool writethroughput,
portworx.px_pool_stats_pool_flushed_bytes,gauge,,byte,,Number of flushed bytes since last interval for this pool. **Deprecated**.,0,portworx,pool flushed bytes,
portworx.px_pool_stats_pool_num_flushes,gauge,,,,Number of flush(sync) operations since last interval for this pool. **Deprecated**.,0,portworx,pool num flushes,
portworx.px_pool_stats_pool_flushms,gauge,,millisecond,,Latency for flush for this pool. **Deprecated**.,0,portworx,pool flushms,
portworx.px_pool_stats_pool_provisioned_bytes,gauge,,byte,,Provisioned storage space in bytes for this pool. **Deprecated**.,0,portworx,pool provisioned bytes,
portworx.px_pool_stats_pool_status,gauge,,,,"Status of this Pool (0=Offline,1=Online). **Deprecated**.",0,portworx,pool status,
portworx.px_pool_stats_written_bytes,gauge,,byte,,Bytes written since last interval for this pool,0,portworx,pool written bytes,
portworx.px_pool_stats_num_writes,gauge,,,,Number of write operations in the last interval for this pool,0,portworx,pool num writes,
portworx.px_pool_stats_write_ms,gauge,,millisecond,,Total time in millisecond spent in writing in the last interval for this pool,0,portworx,pool write ms,
portworx.px_pool_stats_write_latency_seconds,gauge,,second,,Average time spent per write operation for this pool,0,portworx,pool write latency seconds,
portworx.px_pool_stats_write_iops,gauge,,,,Average number of completed write operations per second for this pool,0,portworx,pool write iops,
portworx.px_pool_stats_writethroughput,gauge,,byte,,Average number of bytes written per second for this pool,0,portworx,pool writethroughput,
portworx.px_pool_stats_flushed_bytes,gauge,,byte,,Number of flushed bytes since last interval for this pool,0,portworx,pool flushed bytes,
portworx.px_pool_stats_num_flushes,gauge,,,,Number of flush(sync) operations since last interval for this pool,0,portworx,pool num flushes,
portworx.px_pool_stats_flushms,gauge,,millisecond,,Latency for flush for this pool,0,portworx,pool flushms,
portworx.px_pool_stats_provisioned_bytes,gauge,,byte,,Provisioned storage space in bytes for this pool,0,portworx,pool provisioned bytes,
portworx.px_pool_stats_status,gauge,,,,"Status of this Pool (0=Offline, 1=Online, 2=Full, 3=NotFound, 4=Maintenance)",0,portworx,pool status,
portworx.px_pool_stats_available_bytes,gauge,,byte,,Available storage space in bytes for this pool,0,portworx,pool available bytes,
portworx.px_pool_stats_used_bytes,gauge,,byte,,Used storage space in bytes for this pool,0,portworx,pool used bytes,
portworx.px_pool_stats_total_bytes,gauge,,byte,,Total storage space in bytes for this pool,0,portworx,pool total bytes,
portworx.px_pool_stats_written_bytes_total,count,,byte,,Total bytes written for this pool,0,portworx,pool written bytes,
portworx.px_pool_stats_flushed_bytes_total,count,,byte,,Total number of flushed bytes,0,portworx,pool flushed bytes,
portworx.px_pool_stats_num_flushes_total,count,,,,Total number of flush(sync) operations,0,portworx,pool num flushes,
portworx.px_pool_stats_flushms_total,count,,millisecond,,Total time spent in flush,0,portworx,pool flushms,
portworx.px_proc_stats_virt,gauge,,byte,,Virtual memory in bytes,0,portworx,proc virt,
portworx.px_proc_stats_res,gauge,,byte,,Resident set size memory in bytes,0,portworx,proc res,
portworx.px_proc_stats_cputime,gauge,,,,Amount of time that this process has been scheduled in user and kernel mode measured in clock ticks,0,portworx,proc cputime,
portworx.px_px_cache_status,gauge,,,,"Cache enabled (0=No,1=Yes)",0,portworx,px cache status,
portworx.px_px_cache_total_blocks,gauge,,,,Number of total blocks in the cache,0,portworx,px cache total blocks,
portworx.px_px_cache_used_blocks,gauge,,,,Number of used blocks in the cache,0,portworx,px cache used blocks,
portworx.px_px_cache_dirty_blocks,gauge,,,,Number of dirty blocks in the cache,0,portworx,px cache dirty blocks,
portworx.px_px_cache_read_hits,gauge,,,,Number of read hits for the cache,0,portworx,px cache read hits,
portworx.px_px_cache_read_miss,gauge,,,,Number of read misses for the cache,0,portworx,px cache read miss,
portworx.px_px_cache_write_hits,gauge,,,,Number of write hits for the cache,0,portworx,px cache write hits,
portworx.px_px_cache_write_miss,gauge,,,,Number of write misses for the cache,0,portworx,px cache write miss,
portworx.px_px_cache_block_size,gauge,,,,Block size for the cache,0,portworx,px cache block size,
portworx.px_px_cache_mode,gauge,,,,Mode of the cache,0,portworx,px cache mode,
portworx.px_px_cache_migrate_promote,gauge,,,,Number of blocks promoted to the cache,0,portworx,px cache migrate promote,
portworx.px_px_cache_migrate_demote,gauge,,,,Number of block demoted from the cache,0,portworx,px cache migrate demote,
portworx.px_px_cache_io_mbps,gauge,,,,Approximate cache bandwidth from cache internal actions,0,portworx,px cache io mbps,
portworx.px_rebalance_rebalance_job_state,gauge,,,,"Rebalance job state (0 = pending, 1 = running, 2 = done, 3 = paused, 4 = cancelled)",0,portworx,rebalance job state,
portworx.px_rebalance_provision_space_rebalanced_bytes_total,count,,byte,,Total provisioned space rebalanced (only counts add (since remove has equal value as add)),0,portworx,rebalance provision space rebalanced bytes,
portworx.px_rebalance_used_space_rebalanced_bytes_total,count,,byte,,Total used space rebalanced (only counts add (since remove has equal value as add)),0,portworx,rebalance used space rebalanced bytes,
portworx.px_rebalance_volumes_rebalanced_total,count,,,,Total volumes affected by rebalance operation,0,portworx,rebalance volumes rebalanced,
portworx.px_rebalance_overloaded_pools_total,count,,,,Number of overloaded pools,0,portworx,rebalance overloaded pools,
portworx.px_volume_usage_bytes,gauge,,byte,,Used storage space in bytes for this volume,0,portworx,volume usage bytes,
portworx.px_volume_capacity_bytes,gauge,,byte,,Configured size in bytes for this volume,0,portworx,volume capacity bytes,
portworx.px_volume_halevel,gauge,,,,Configured HA level for this volume,0,portworx,volume halevel,
portworx.px_volume_currhalevel,gauge,,,,Current HA level for this volume,0,portworx,volume currhalevel,
portworx.px_volume_iopriority,gauge,,,,Configured IO priority for this volume,0,portworx,volume iopriority,
portworx.px_volume_elapsed_time_since_detached_seconds,gauge,,second,,Seconds elapsed since the volume is detached,0,portworx,volume elapsed time since detached seconds,
portworx.px_volume_elapsed_time_since_attached_seconds,gauge,,second,,Seconds elapsed since the volume is attached,0,portworx,volume elapsed time since attached seconds,
portworx.px_volume_attached,gauge,,,,"Attached state for this volume (0=detached,1=attached)",0,portworx,volume attached,
portworx.px_volume_status,gauge,,,,Status for this volume (https://libopenstorage.github.io/w/master.generated-api/#volumestatus),0,portworx,volume status,
portworx.px_volume_state,gauge,,,,State for this volume (https://libopenstorage.github.io/w/master.generated-api/#volumestate),0,portworx,volume state,
portworx.px_volume_attached_state,gauge,,,,Attached state for this volume (valid only if volume is attached) (https://libopenstorage.github.io/w/master.generated-api/#attachstate),0,portworx,volume attached state,
portworx.px_volume_fs_health_status,gauge,,,,Filesystem health status for this volume (https://libopenstorage.github.io/w/master.generated-api/#filesystemhealthstatus),0,portworx,volume fs health status,
portworx.px_volume_replication_status,gauge,,,,"Replication Status for this volume (0 : up, 1 : not in quorum, 2 : resync state, 3 : degraded, 4 : detached, 5 : restore)",0,portworx,volume replication status,
portworx.px_volume_fs_usage_bytes,gauge,,byte,,Used storage space in bytes as reported by the filesystem for this volume,0,portworx,volume fs usage bytes,
